Data;Hora;Duracao;Numero;Destino;Tipo;Valor
28/05/2026;09:46:48;00:01:00;3319-9403;UBERABA;DDD;0,61
28/05/2026;10:02:00;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;10:04:48;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;10:14:00;00:00:30;99775-5667;AREA-015;VC2;0,41
28/05/2026;10:23:06;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;10:26:06;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
28/05/2026;10:44:12;00:01:36;3510-1711;SAO CARLOS;DDD;0,99
28/05/2026;10:54:30;00:02:12;3319-9403;UBERABA;DDD;1,36
28/05/2026;11:00:24;00:01:00;3510-1711;SAO CARLOS;DDD;0,61
28/05/2026;11:18:42;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
28/05/2026;11:27:00;00:01:00;3319-9403;UBERABA;DDD;0,61
28/05/2026;11:53:48;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;12:13:30;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;12:34:06;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
28/05/2026;13:14:00;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;13:15:42;00:01:06;3338-9039;GAVIAO PEIXOTO;DDD;0,68
